Type,,,,,,,,,,,,,,,,,,,,,,,,,
SYPRO_conc,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SYPRO_conc,A,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,B,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,C,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,D,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,E,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,F,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,G,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,H,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM,10uM
SYPRO_conc,I,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
SYPRO_conc,J,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
SYPRO_conc,K,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
SYPRO_conc,L,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
SYPRO_conc,M,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
SYPRO_conc,N,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
SYPRO_conc,O,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
SYPRO_conc,P,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM,0uM
Compound_conc,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Compound_conc,A,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Compound_conc,B,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Compound_conc,C,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667
Compound_conc,D,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556
Compound_conc,E,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852
Compound_conc,F,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951
Compound_conc,G,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317
Compound_conc,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compound_conc,I,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Compound_conc,J,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Compound_conc,K,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667
Compound_conc,L,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556
Compound_conc,M,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852
Compound_conc,N,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951,0.617283951
