Temperature,A1,A2,A3
30,8959.025365,7086.371909,7598.010767
31,8403.732834,6794.694106,7322.547185
32,7722.468278,6401.900144,6944.720197
33,7358.672827,5883.713235,6409.873621
34,7346.512161,5562.235119,6005.364438
35,7164.592163,5243.919667,5592.970868
36,6995.990989,5039.905566,5317.863643
37,6835.496926,4877.941532,5128.638336
38,6620.79213,4814.643707,5127.925623
39,6469.251524,4612.277754,5005.428073
40,6359.092818,4491.918343,4922.753363
41,5947.812862,4416.370763,4788.718771
42,5725.624578,4260.821147,4541.808255
43,5502.723582,4007.540758,4329.286142
44,5419.336159,3921.436117,4180.685477
45,5219.063801,3652.743309,3892.660329
46,5333.231517,3672.521095,3719.604699
47,5231.269011,3691.096178,3767.93555
48,5156.434144,3626.372927,3661.206776
49,5024.047701,3382.714164,3721.653749
50,5053.937103,3271.530933,3731.409008
51,5083.737416,3178.299161,3502.405406
52,5171.490207,3243.022412,3315.095516
53,5184.051774,3221.151032,3364.629071
54,5162.403116,3246.719611,3310.418337
55,5183.962684,3276.742647,3381.333282
56,5244.498746,3565.035063,3424.45242
57,5316.750029,3795.285912,3525.301312
58,5352.563858,3946.381072,3477.638629
59,5608.383287,3968.163364,3766.46558
60,5639.519937,3858.049203,4036.672903
61,5707.806753,3858.227381,4146.029807
62,5819.390885,4213.158464,4075.159406
63,5908.079111,4497.085513,4119.169435
64,6132.450078,4793.663218,4122.332099
65,6514.998791,5053.803469,4432.094994
66,6605.513344,5208.284016,4922.976086
67,6820.975399,5396.618431,5309.756532
68,7451.681875,6068.617719,5755.469436
69,8208.538557,6868.638082,6526.847645
70,9201.837781,7751.778601,7507.095313
71,10597.55259,9039.250124,8611.934125
72,12315.7255,10743.43604,10194.51338
73,14170.4275,12646.24617,11908.85546
74,16269.01098,14750.66499,13669.61297
75,18306.43478,16691.02618,15511.3525
76,19701.52597,18002.59631,16861.40914
77,20528.4067,18791.16872,17596.21626
78,20953.3173,19032.51117,17867.62628
79,20754.15855,18777.449,17562.00603
80,20242.87605,17916.93712,16899.40565
81,19475.46231,16982.43671,16098.04895
82,18420.24614,15850.24754,15223.19372
83,17160.97133,14879.17605,14413.95263
84,16103.75065,13964.94343,13539.58739
85,15166.31031,13095.03264,12774.40088
86,14402.3265,12327.03982,12091.48817
87,13698.74512,11553.56802,11458.73264
88,13033.69478,10881.34601,10715.06115
89,12349.71301,10420.04251,10039.40921
90,11909.3009,10154.77963,9458.904458
